CHAMP MIX DE CARNES X 22 KG	4211.39
PEDIGREE BISCROK MULTI 8 BLS X 100 GRS	1067.61
PEDIGREE BISCROK MULTI X 500 GRS	491.61
PEDIGREE DENTASTIX RAZAS MEDIANAS 10 BLS X 3 UDS	1619.46
PEDIGREE DENTASTIX RAZAS MEDIANAS 18 BLS X 1 UD	1118.40
PEDIGREE DENTASTIX RAZAS MEDIANAS 8 BLS X 7 UDS	2739.05
PEDIGREE DENTASTIX RAZAS PEQUEÑAS 10 BLS X 3 UDS	1412.07
PEDIGREE DENTASTIX RAZAS PEQUEÑAS 20 BLS X 1 UD	1118.52
PEDIGREE DENTASTIX RAZAS PEQUEÑAS 8 BLS X 7 UDS	2401.70
PEDIGREE RODEO CARNE X 4	1618.25
PEDIGREE RODEO POLLO X 4	1618.25
PEDIGREE ADULTO CPC X 1.5 KG	522.14
PEDIGREE ADULTO CPC X 21 KG	5576.25
PEDIGREE ADULTO CPC X 15 KG	4490.88
PEDIGREE ADULTO CPC X 3 KG	984.19
PEDIGREE ADULTO CPC X 8 KG	2464.27
PEDIGREE ADULTO CV X 8 KG	2464.27
PEDIGREE ADULTO CV X 1.5 KG	522.14
PEDIGREE ADULTO CV X 15 KG	4490.88
PEDIGREE ADULTO CV X 21 KG	5576.25
PEDIGREE ADULTO CV X 3 KG	984.19
PEDIGREE ADULTO RAZAS PEQUEÑAS X 1.5 KG	548.25
PEDIGREE ADULTO RAZAS PEQUEÑAS X 15 KG	4499.71
PEDIGREE ADULTO RAZAS PEQUEÑAS X 3 KG	1033.40
PEDIGREE ADULTO RAZAS PEQUEÑAS X 8 KG	2587.49
PEDIGREE BALANCE NATURAL X 1.5 KG	548.25
PEDIGREE BALANCE NATURAL X 15 KG	4499.71
PEDIGREE BALANCE NATURAL X 3 KG	1033.40
PEDIGREE BALANCE NATURAL X 7 KG	2264.04
PEDIGREE CACHORRO X 1.5 KG	548.25
PEDIGREE CACHORRO X 21 KG	6308.89
PEDIGREE CACHORRO X 3 KG	1033.40
PEDIGREE CACHORRO X 8 KG	2587.49
PEDIGREE LATA ADULTO CARNE X 340 GRS	285.10
PEDIGREE LATA ADULTO POLLO X 340 GRS	285.10
PEDIGREE LATA CACHORRO X 340 GRS	285.10
PEDIGREE POUCH CACHORRO 12 X 85 GRS	1060.44
PEDIGREE POUCH CARNE 12 X 100 GRS	1060.44
PEDIGREE POUCH POLLO 12 X 100 GRS	1060.44
PEDIGREE POUCH RAZ PEQ CARNE 12 X 100 GRS	1060.44
PEDIGREE POUCH RAZ PEQ POLLO 12 X 100 GRS	1060.44
PEDIGREE POUCH SENIOR 12 X 100 GRS	1060.44
PEDIGREE SENIOR CP X 1.5 KG	548.25
PEDIGREE SENIOR CP X 3 KG	1033.40
PEDIGREE SENIOR CP X 8 KG	2399.85
WHISKAS BUENO POR NAT SALMON X 10 KG	4657.68
WHISKAS BUENO POR NAT SALMON X 1 KG	615.72
WHISKAS BUENO POR NAT SALMON X 3 KG	1716.00
WHISKAS BUENO POR NAT SALMON X 500 GR	327.04
WHISKAS CARNE X 1 KG	549.75
WHISKAS CARNE X 10 KG	4158.64
WHISKAS CARNE X 3 KG	1532.14
WHISKAS CARNE X 500 GRS	292.00
WHISKAS CASTRADOS MIX CARNES X 1 KG	615.72
WHISKAS CASTRADOS MIX CARNES X 10 KG	4657.68
WHISKAS CASTRADOS MIX CARNES X 3 KG	1716.00
WHISKAS CASTRADOS MIX CARNES X 500 GR	327.04
WHISKAS GATITOS X 1 KG	549.75
WHISKAS GATITOS X 10 KG	4158.64
WHISKAS GATITOS X 500 GRS	292.00
WHISKAS LATA ATUN X 340 GRS	285.10
WHISKAS LATA CARNE X 340 GRS	285.10
WHISKAS LATA GATITO CARNE X 340 GRS	285.10
WHISKAS LATA POLLO X 340 GRS	285.10
WHISKAS PESCADO X 1 KG	549.75
WHISKAS PESCADO X 10 KG	4158.64
WHISKAS PESCADO X 3 KG	1532.14
WHISKAS PESCADO X 500 GRS	292.00
WHISKAS POLLO X 1 KG	549.75
WHISKAS POLLO X 10 KG	4158.64
WHISKAS POLLO X 3 KG	1532.14
WHISKAS POLLO X 500 GRS	292.00
WHISKAS POUCH CARNE 12 X 85 GRS	1060.44
WHISKAS POUCH GATITO 12 X 85 GRS	1060.44
WHISKAS POUCH PAVO 12 X 85 GRS	1060.44
WHISKAS POUCH POLLO 12 X 85 GRS	1060.44
WHISKAS POUCH SALMON 12 X 85 GRS	1060.44
WHISKAS POUCH SARDINA 12 X 85 GRS	1060.44
WHISKAS POUCH SOUFFLE CARNE 12 X 85 GRS	1060.44
WHISKAS POUCH SOUFFLE GATITO 12 X 85 GRS	1060.44
WHISKAS POUCH SOUFFLE PESCADO 12 X 85 GRS	1060.44
CAT SELECTION X 10 KG	3155.00
DOG SELECTION ETIQUETA NEGRA ADULTO X 15 KG	5248.00
DOG SELECTION ETIQUETA NEGRA ADULTO X 21 KG	6980.00
DOG SELECTION ETIQUETA NEGRA CACHORRO X 15 KG	5692.00
DOG SELECTION ETIQUETA NEGRA RAZAS PEQ X 15 KG	5248.00
DS CRIADORES CACHORRO X 1.5 KG	521.00
DS CRIADORES CACHORRO X 21 KG	5228.00
DS CRIADORES CACHORRO X 3 KG	997.00
DS CRIADORES CACHORRO X 8 KG	2191.00
DS CRIADORES CACHORROS X 15 KG	3921.00
DS CRIADORES CP PROMO X 15 KG	3459.00
DS CRIADORES CP X 21 KG	4612.00
DS CRIADORES CP X 1.5 KG	464.00
DS CRIADORES CP X 3 KG	887.00
DS CRIADORES CP X 8 KG	1933.00
DS CRIADORES MIX CV X 1.5 KG	464.00
DS CRIADORES MIX CV X 21 KG	4612.00
DS CRIADORES MIX CV X 3 KG	887.00
DS CRIADORES MIX CV X 8 KG	1933.00
DS CRIADORES CP RAZAS PEQUEÑAS X 1.5 KG	464.00
DS CRIADORES CP RAZAS PEQUEÑAS X 15 KG	3459.00
DS CRIADORES SENIOR LIGHT X 15 KG	3921.00
GRAN CAMPEON CACHORROS X 10 KG	2013.00
GRAN CAMPEON CARNE X 21 KG	3295.00
GRAN CAMPEON GATO X 10 KG	2324.00
GRAN CAMPEON TRADICIONAL X 21 KG	3295.00
PACHA PERRO COCKTAIL X 22 KG	3038.00
PACHA COCKTAIL CACHORRO X 10 KG	1873.00
PACHA GATO COCKTAIL X 10 KG	2232.00
PACHA GATO PESCADO X 10 KG	2163.00
PACHA PERRO MIX X 10 KG	1369.00
PACHA PERRO MIX X 15 KG	1998.00
PACHA PERRO MIX X 22 KG	2842.00
PROTEMIX PERRO X 21 KG	4279.00
TIERNITOS SEL CACHORROS X 1.5 KG	411.00
TIERNITOS SEL CACHORROS X 15 KG	3197.00
TIERNITOS SEL CACHORROS X 21 KG	4116.00
TIERNITOS SEL CACHORROS X 3 KG	791.00
TIERNITOS SEL CACHORROS X 8 KG	1766.00
TIERNITOS SEL CARNE X 1.5 KG	393.00
TIERNITOS SEL CARNE X 15 KG	2869.00
TIERNITOS SEL CARNE X 21 KG	3633.00
TIERNITOS SEL CARNE X 3 KG	757.00
TIERNITOS SEL CARNE X 8 KG	1755.00
TIERNITOS SEL CARNE Y VEGETALES X 1.5 KG	393.00
TIERNITOS SEL CARNE Y VEGETALES X 15 KG	2869.00
TIERNITOS SEL CARNE Y VEGETALES X 21 KG	3633.00
TIERNITOS SEL CARNE Y VEGETALES X 3 KG	757.00
TIERNITOS SEL CARNE Y VEGETALES X 8 KG	1755.00
CARI AMICI CACHORRO X 1.5 KG	347.00
CARI AMICI CACHORROS X 15 KG	2748.00
CARI AMICI CACHORROS X 20 KG	3444.00
CARI AMICI CACHORROS X 3 KG	631.00
CARI AMICI GATOS CARNE POLLO Y ATUN X 15 KG	2751.00
CARI AMICI GATOS MIX CPA X 1 KG	251.00
CARI AMICI GATOS MIX CPA X 10 KG	1994.00
CARI AMICI GATOS PESCADO X 10 KG	1994.00
CARI AMICI GATOS PESCADOS X 15 KG	2751.00
CARI AMICI PERROS CARNE X 1.5 KG	258.00
CARI AMICI PERROS CARNE X 15 KG	1986.00
CARI AMICI PERROS CARNE X 20 KG	2532.00
CARI AMICI PERROS CARNE X 3 KG	469.00
CARI AMICI PERROS CARNE X 8 KG	1165.00
CARI AMICI PERROS MIX CPV X 1.5 KG	258.00
CARI AMICI PERROS MIX CPV X 15 KG	1986.00
CARI AMICI PERROS MIX CPV X 20 KG	2532.00
CARI AMICI PERROS MIX CPV X 3 KG	469.00
COMPINCHES GATO PESCADO X 10 KG	1911.00
COMPINCHES GATO PESCADO X 20 KG	3540.00
COMPINCHES PERRO CARNE X 20KG	2106.00
EXACT PERROS ADULTOS X 15 KG	2482.00
EXACT PERROS ADULTOS X 25 KG	4002.00
EXACT PERROS CACHORROS X 15 KG	2960.00
FISHY GATO PESCADO X 15 KG	2616.00
GEPSA BB CASERO X 25 KG	2570.00
GEPSA CONEJO CASERO X 25 KG	1930.00
GEPSA ENGORDE CASERO X 25 KG	2450.00
GEPSA PONEDORA CASERA X 25	2430.00
GEPSA RECRIA CASERO X 25 KG	2500.00
KANINA PERRO ADULTO CARNE X 20 KG	2174.00
KEN- L CACHORRO X 15 KG	5136.00
KEN-L CACHORRO X 22 KG	7091.00
KEN-L ADULTO RAZAS PEQUEÑAS X 7.5 KG	2420.00
KEN-L ADULTOS X 15 KG	4819.00
KEN-L ADULTOS X 22 KG	6657.00
ODWALLA ADULTO X 22 KG	4815.00
ODWALLA CACHORRO X 15 KG	3918.00
ODWALLA CACHORRO X 22 KG	5504.00
ZIMPI GATO PESCADO X 10 KG	1733.00
ZIMPI GATO PESCADO X 15 KG	2407.00
ZIMPI PERRO CARNE X 15 KG	1630.00
ZIMPI PERRO CARNE X 25 KG	2487.00
BARKING PERRO ADULTO X 20 KG	2530.00
RAZA CACHORRO CARNE CEREAL Y LECHE X 15 KG	3150.00
RAZA PERRO CARNE X 15 KG	2700.00
RAZA PERRO CARNE X 21 KG	3700.00
RAZA GATO PESCADO X 10 KG	2550.00
RAZA GATO POLLO Y LECHE X 10 KG	2550.00
RAZA GATO CARNE PESCADO Y ARROZ X 10 KG	2550.00
RAZA PERRO RAZAS PEQUEÑAS X 15 KG	2700.00
RAZA PERRO MIX PCCA X 15 KG	2700.00
SABROSITOS PERRO CPC X 8KG	1500.00
SABROSITOS PERRO MIX CCV X 8 KG	1500.00
SABROSITOS PERRO MIX CCV X 15 KG	2600.00
SABROSITOS PERRO MIX CCV X 20 KG	3510.00
SABROSITOS PERRO CACHORRO X 18 KG	4060.00
SABROSITOS PERRO CACHORRO X 8 KG	1930.00
SABROSITOS GATO PESCADO X 10 KG	2640.00
SABROSITOS GATO MIX PCV X 10 KG	2640.00
SABROSITOS GATO PESCADO X 20 KG	5100.00
SABROSITOS GATO MIX PCV X 20 KG	5100.00
RUBICAT CLASSIC X 5.3 KG	410.00
RUBICAT CLASSIC LAVANDA X 5.3 KG	515.00
RUBICAT PREMIUM X 5.7 KG	680.00
RUBICAT SENSITIVE X 5 KG	1130.00
COL. SANITARIO CATHOME 6 BLS X 2 KG	555.00
COL. SANITARIO CATHOME 3 BLS X 4 KG	430.00
MAMADERA ALIMASC	370.00
GATOLAC X 350 GRS	700.00
PERROLAC X 250 GRS	505.00
PERROLAC X 500 GRS	780.00
DESTETE CACHORROS X 1.5 KG	800.00
GIRASOL CONFITERO X 20 KG	4100.00